player,year,overall_pick,games,points,total_rebounds,assists,successScore
Rhyne Howard,2022,1,34.0,16.2,4.5,2.8,0.5289950958927833
NaLyssa Smith,2022,2,32.0,13.5,7.9,1.4,0.5246333860439282
Shakira Austin,2022,3,36.0,8.7,6.5,0.9,0.38254954454838047
Emily Engstler,2022,4,35.0,5.2,5.2,1.5,0.3197766224916606
Nyara Sabally,2022,5,0.0,0.0,0.0,0.0,0.0
Lexie Hull,2022,6,26.0,3.8,1.5,0.7,0.17200352313510842
Veronica Burton,2022,7,36.0,2.6,1.5,1.9,0.21382562828822818
Mya Hollingshed,2022,8,0.0,0.0,0.0,0.0,0.0
Rae Burrell,2022,9,3.0,1.7,1.0,0.3,0.13200854837160397
Queen Egbo,2022,10,33.0,7.2,6.3,0.9,0.36380784176570724
Kierstan Bell,2022,11,21.0,1.3,0.9,0.3,0.08093691192610855
Nia Clouden,2022,12,28.0,2.1,0.8,0.8,0.12221061241205759
Khayla Pointer,2022,13,10.0,2.2,0.8,0.2,0.08093968419489068
Christyn Williams,2022,14,0.0,0.0,0.0,0.0,0.0
Naz Hillmon,2022,15,34.0,4.4,5.1,1.2,0.3096401981062903
Kianna Smith,2022,16,11.0,2.6,0.8,0.5,0.12025290699514517
Elissa Cunane,2022,17,3.0,0.7,1.7,0.0,0.06164508494444184
Lorela Cubaj,2022,18,11.0,0.7,2.1,0.4,0.11177752023722409
Olivia Nelson-Ododa,2022,19,30.0,4.0,2.9,0.4,0.20463206720358093
Destanni Henderson,2022,20,36.0,5.3,1.6,2.5,0.26756567453122015
Evina Westbrook,2022,21,20.0,2.8,1.0,1.2,0.15062055248594336
Kayla Jones,2022,22,0.0,0.0,0.0,0.0,0.0
Aisha Sheppard,2022,23,23.0,1.5,0.6,0.3,0.08784920123813664
Jordan Lewis,2022,24,0.0,0.0,0.0,0.0,0.0
Meshya Williams-Holliday,2022,25,0.0,0.0,0.0,0.0,0.0
Maya Dodson,2022,26,0.0,0.0,0.0,0.0,0.0
Amy Atwell,2022,27,4.0,0.8,0.5,0.5,0.08072619061446591
Hannah Sjerven,2022,28,3.0,0.0,0.0,0.0,0.018325549041041438
Sika Koné,2022,29,0.0,0.0,0.0,0.0,0.0
Jasmine Dickey,2022,30,20.0,1.1,0.6,0.1,0.06009852831306246
Jazz Bond,2022,31,0.0,0.0,0.0,0.0,0.0
Macee Williams,2022,32,0.0,0.0,0.0,0.0,0.0
